UserId,LengthOfScreenName,LengthOfDescriptionInUserProfile,AccountLongevity,NumerOfFollowings,NumberOfFollowers,RatioFollowingFollowers,TweetsPerDay,URLRatio,MentionRatio,MeanTimeBetweenTweets,MaxTimeBetweenTweets,HashtagRatio,FollowBackRatio
614,10,34,1226,510,350,1.452991452991453,0.4156479217603912,0.018983466013472138,0.03614088820826952,180.65125628140703,1521.3333333333333,0.0003061849357011635,0.684931506849315
1038,7,156,1219,304,443,0.6846846846846847,0.24918032786885247,0.012482977757603268,0.03745743473325766,138.13417085427136,1225.9666666666667,0.007943713118474808,1.4524590163934425
1437,6,37,1219,45,73,0.6081081081081081,0.036885245901639344,0.026170798898071626,0.18482758620689654,659.7570351758794,6081.95,0.06060606060606061,1.5869565217391304
2615,7,0,1226,211,230,0.9134199134199135,0.1719641401792991,0.12735849056603774,0.35545023696682465,6673.950753768844,128231.28333333334,0.014150943396226415,1.0849056603773586
3148,8,97,1213,7346,7244,1.0139406487232574,6.051070840197694,0.010228166797797011,0.01267704144081133,60.92617845117845,1444.5833333333333,0.0017484045808200017,0.9859806723832857
5593,8,56,1172,898,1024,0.8760975609756098,0.7655583972719523,0.022774327122153208,0.02968588194684156,243.30479797979797,3349.4333333333334,0.012422360248447204,1.139043381535039
9375,9,11,1126,53,131,0.4015151515151515,0.04702750665483585,0.1111111111111111,0.20141342756183744,294.45376884422114,4168.25,0.3403880070546737,2.425925925925926
10336,6,0,1120,754,4103,0.18372319688109162,0.6726137377341659,0.008411517308314461,0.03397508493771234,185.8848408710218,1784.0,0.0056615981882885795,5.434437086092715
10455,9,15,1116,140,222,0.6278026905829597,0.12533572068039392,0.010058675607711651,0.08976510067114093,448.035635359116,3685.133333333333,0.015088013411567477,1.574468085106383
10698,8,63,1116,140,1329,0.10526315789473684,0.12533572068039392,0.003264978806277924,0.0065303316721086095,29.675879396984925,441.7,0.0010883262687593081,9.425531914893616
11718,11,31,1112,254,3639,0.06978021978021978,0.22821203953279426,0.009944215377152558,0.022437841115827774,195.28123953098827,1341.8166666666666,0.000606354596167839,14.270588235294118
12527,12,49,1108,108,92,1.1612903225806452,0.09738503155996393,0.015931372549019607,0.12392638036809817,843.853577661431,7570.45,0.007352941176470588,0.8440366972477065
13602,6,28,1103,145,395,0.3661616161616162,0.13134057971014493,0.008568750836792073,0.02437064809855383,123.89120603015077,2094.15,0.0026777346364975233,2.7054794520547945
15313,9,20,1087,189,1665,0.1134453781512605,0.17371323529411764,0.014460861364350833,0.018867924528301886,376.3597989949749,3659.55,0.0006287331027978623,8.763157894736842
16683,8,75,1086,70,322,0.21671826625386997,0.06439742410303588,0.01435299394483068,0.016150740242261104,362.29078726968174,2456.35,0.001121327651939897,4.535211267605634
17363,10,128,1090,277,868,0.3187571921749137,0.2538955087076077,0.006817213463996591,0.027913914340507138,251.78509212730316,6334.55,0.005965061780997018,3.1223021582733814
21833,8,18,1083,87,94,0.9157894736842105,0.08025830258302583,0.03333333333333333,0.4944237918215613,1878.2021775544388,97871.75,0.0,1.0681818181818181
25723,7,139,1082,242,722,0.334716459197787,0.2234533702677747,0.0005956635692161067,0.010126883898254602,7.270770519262982,227.33333333333334,0.0007147962830593281,2.97119341563786
32613,15,51,1092,182,490,0.37067209775967414,0.16651418115279049,0.001073345259391771,0.013000954198473283,86.10720268006699,1408.0333333333333,0.0022659511031604056,2.6775956284153004
46183,13,110,1078,71,174,0.4057142857142857,0.06580166821130677,0.026578073089700997,0.12,1020.9561976549413,7136.883333333333,0.0,2.4166666666666665
47203,3,25,1073,259,485,0.5329218106995884,0.24115456238361266,0.004125054277029961,0.021715526601520086,143.69849246231155,2374.6833333333334,0.0013026487190620929,1.8653846153846154
50263,4,117,1087,130,150,0.8609271523178808,0.11948529411764706,0.004286939125464418,0.02058319039451115,84.64288107202681,973.8333333333334,0.0054301228922549296,1.1450381679389312
56733,8,0,1080,672,780,0.8604353393085787,0.6216466234967623,0.0036786344908769863,0.02634289919058131,100.25008503401361,2914.866666666667,0.006474396703943496,1.1589895988112928
60663,12,158,1075,2855,5413,0.527336534909494,2.653345724907063,0.00037794680398733877,0.005338750826797694,43.74559585492228,1366.15,0.0006141635564794255,1.8953081232492996
63093,7,11,1073,133,160,0.8260869565217391,0.12383612662942271,0.06727272727272728,0.11293260473588343,1564.5513400335008,21676.833333333332,0.038181818181818185,1.1940298507462686
157763,6,0,1060,262,325,0.803680981595092,0.2469368520263902,0.0040710584752035525,0.031469825990373936,377.82939698492464,5482.083333333333,0.001850481125092524,1.2357414448669202
198623,8,69,1068,152,249,0.608,0.1421889616463985,0.01149025069637883,0.039359108324625566,270.7309882747069,2425.7833333333333,0.005222841225626741,1.6274509803921569
304713,6,85,1061,235,385,0.6088082901554405,0.22128060263653485,0.00037730603491073733,0.0029192151878624194,124.80293132328308,2624.266666666667,0.0005163135214567984,1.63135593220339
451373,9,84,1055,315,198,1.5829145728643217,0.29829545454545453,0.00021299254526091586,0.032807839795483594,72.4536850921273,1589.5166666666667,0.0023429179978700747,0.6265822784810127
627303,7,70,1038,234,1845,0.1267605633802817,0.2252165543792108,0.005912786400591279,0.018850489743115876,562.9655778894472,4285.916666666667,0.0003695491500369549,7.851063829787234
638323,6,35,1044,191,1014,0.18817733990147784,0.18277511961722487,0.003603912819632744,0.012099888440744873,150.6757956448911,1617.4166666666667,0.00034322979234597563,5.28125
639393,6,76,1035,127,151,0.8355263157894737,0.12258687258687259,0.009624639076034648,0.029845956354300384,320.8251256281407,3285.55,0.005453962143086301,1.1796875
642373,7,75,1040,250,289,0.8620689655172413,0.24015369836695485,0.012502948808681292,0.01793298725814063,153.55293132328308,1401.4166666666667,0.00047180938900684123,1.151394422310757
647073,9,149,1042,350,488,0.7157464212678937,0.33557046979865773,0.029280195201301342,0.04922701383238405,159.6500837520938,2623.733333333333,0.0028466856445709637,1.3903133903133904
653843,4,26,1045,58,202,0.2857142857142857,0.055449330783938815,0.005674490585504256,0.02863777089783282,162.77282051282052,2478.233333333333,0.003095176683002321,3.4237288135593222
